list_id,ad_id,tieu_de,hang_xe,loai_xe,dung_tich,nam_san_xuat,tinh_trang,gia_vnd,gia_trieu,khu_vuc,quan_huyen,nguoi_ban,so_da_ban,dang_lon,km_da_di,ngay_dang,co_video,url
130333473,173687437,💥💥💥 Moto Supere Herley 170cc 💥💥💥,Brand_34,Xe côn tay,,2014,Đã sử dụng,27500000,27.5,TP Hồ Chí Minh,Quận Tân Phú,XE MÁY QUANG LẬP,371,16,21000,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/130333473
130753363,174166918,SPACY NHẬT ĐỜI 2004 THẮNG CBS MUA THÙNG MỘT CHỦ,Honda,Tay ga,,2004,Đã sử dụng,49000000,49.0,TP Hồ Chí Minh,Quận Bình Thạnh,A HƯNG,0,6,38000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130753363
124212059,166610225,honda dream béo 110 - 2017,Honda,Xe số,,2017,Đã sử dụng,8900000,8.9,Ninh Bình,Thành phố Nam Định,xe máy Trần Trung Bil 7002,124,21,40000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/124212059
127521157,170435002,Airblade khóa smartkey cực mới ko dùng nữa bán lại,Honda,Tay ga,,2019,Đã sử dụng,14500000,14.5,TP Hà Nội,Quận Nam Từ Liêm,Em Dung,0,48,0,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/127521157
130856829,174288815,Honda Wave RS 110cc,Honda,Xe số,100 - 175cc,2011,Đã sử dụng,7800000,7.8,TP Hồ Chí Minh,Quận Bình Thạnh,văn vũ,449,37,34000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130856829
131069033,174536166,SYM Attila 50cc bao rút hồ sơ vào tên chính chủ,Suzuki,Tay ga,Dưới 50cc,2024,Mới,16500000,16.5,TP Hà Nội,Quận Nam Từ Liêm,Xe Máy Tấn Hiền ,32,20,0,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131069033
130174606,173505167,SH Ý 2006 150i máy zin BSTP,Honda,Tay ga,100 - 175cc,2006,Đã sử dụng,69000000,69.0,TP Hồ Chí Minh,Quận Tân Phú, Võ SH318,46,31,1233,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130174606
131033187,174494900,Wave A 110 2021 Nguyên Bản Chất,Honda,Xe số,100 - 175cc,2021,Đã sử dụng,15300000,15.3,TP Hà Nội,Huyện Gia Lâm,Xe Máy Phúc Hưng,59,35,14500,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131033187
130292553,173640493,Suzuki GN125 màu Đen,SYM,Xe côn tay,100 - 175cc,2000,Đã sử dụng,14900000,14.9,TP Đà Nẵng,Quận Thanh Khê,Ly,0,1,100000,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/130292553
131087421,174557419,Xe máy điện k cần bằng,Brand_34,Xe phân khối lớn,,2026,Mới,13300000,13.3,TP Hồ Chí Minh,Quận Bình Tân,Kim Xua,11,3,0,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131087421
130344379,173699850,Vario 125 2023 Zin Lướt BSTP 9 Chủ Bao Kí,Honda,Tay ga,100 - 175cc,2023,Đã sử dụng,35800000,35.8,TP Hồ Chí Minh,Quận Bình Tân,huy,3,2,12000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130344379
131087381,174557489,Kawasaki Ninja 400 ABS 2019 Đen Xanh,Brand_17,Xe côn tay,175 - 300cc,2019,Đã sử dụng,75000000,75.0,Tây Ninh,Huyện Đức Hòa,Ân Nguyễn,1,2,28000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087381
130826484,174252548,[CẦN GÌ XE MỚI]👉 Yamaha SIRIUS 2015👉bản đặc biệt,Yamaha,Xe số,,2013,Đã sử dụng,11500000,11.5,TP Hồ Chí Minh,Quận Bình Tân,BÙI TIẾN DŨNG,769,36,21300,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130826484
130158369,173486417,Honda CBR150 2011  nhập thái biển số 65,Honda,Xe côn tay,100 - 175cc,2011,Đã sử dụng,17500000,17.5,TP Hồ Chí Minh,Huyện Bình Chánh,Phong Vũ,763,65,55555,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130158369
100294495,138506937,"Nouvo 4 (LX) 2012, chạy bốc, máy nguyên, chính chủ",Yamaha,Tay ga,100 - 175cc,2012,Đã sử dụng,2300000,2.3,TP Hà Nội,Quận Nam Từ Liêm,Em Nhung,0,25,9000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/100294495
130903544,174343988,SH 150i ABS 2018 BSTP 1 CHỦ,Honda,Tay ga,100 - 175cc,2018,Đã sử dụng,75000000,75.0,TP Hồ Chí Minh,Thành phố Thủ Đức,Vũ Vũ,18,45,10,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130903544
130961271,174411179,Honda Vision 2018 Đỏ chạy được gần 43000 km.,Honda,Tay ga,100 - 175cc,2018,Đã sử dụng,18000000,18.0,TP Hồ Chí Minh,Quận Tân Phú,Dũng,1,2,42848,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/130961271
130575889,173964500,Honda Vision 2022 màu Đen,Honda,Tay ga,,2022,Đã sử dụng,23800000,23.8,TP Hà Nội,Quận Bắc Từ Liêm,hải yến,1,9,8621,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130575889
109839833,149905360,"CBF 150cc,CHÍNH HÃNG HONDA,SX NĂM 2010,ZIN 100%",Honda,Xe côn tay,100 - 175cc,2010,Đã sử dụng,26262626,26.26,TP Hồ Chí Minh,Quận Phú Nhuận,MOTO LUU THANH HAI  77A,181,52,9166,14 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/109839833
130819504,174244324,Piaggio LX 125 ie 2011 Vàng,Vespa / Piaggio,Tay ga,100 - 175cc,2011,Đã sử dụng,7000000,7.0,TP Hồ Chí Minh,Quận Tân Phú,₫inh ₫ạo,69,2,25000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130819504
130534342,173917208,Ab 2012 Xe nguyên zin Bstp Chính chủ,Honda,Tay ga,,2012,Đã sử dụng,11500000,11.5,TP Hồ Chí Minh,Thành phố Thủ Đức,Hoàng Vũ,0,1,26000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130534342
131087321,174557415,ex 5p71 dọn full xé bịch hãng đúng nghĩa.,Yamaha,Xe côn tay,,2010,Đã sử dụng,77777777,77.78,TP Hồ Chí Minh,Quận 12,Gia Minh,54,5,200,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131087321
123719029,166037025,"Air Blade 125Fi, đèn led, xám đen, 2017, biển 38C1",Honda,Tay ga,,2017,Đã sử dụng,11800000,11.8,TP Hà Nội,Quận Nam Từ Liêm,Thảo,0,39,10000,14 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/123719029
