list_id,ad_id,tieu_de,hang_xe,loai_xe,dung_tich,nam_san_xuat,tinh_trang,gia_vnd,gia_trieu,khu_vuc,quan_huyen,nguoi_ban,so_da_ban,km_da_di,ngay_dang,co_video,url
131285124,174788657,Yamaha Exciter 2013 135cc Trắng Xanh,Yamaha,Xe côn tay,100-175cc,2013,Đã sử dụng,13500000,13.5,TP Hồ Chí Minh,Quận 12,Nguyễn văn Đại,1,110000,4 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131285124
128971567,172109554,Cup 81-70,Honda,Xe số,,1981,Đã sử dụng,8500000,8.5,Tây Ninh,Huyện Cần Giuộc,QUANG,56,88888,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/128971567
131268158,174768902,bán xe sh chính chủ đang chạy còn mới đẹp như hình,Honda,Tay ga,,2016,Đã sử dụng,38000000,38.0,TP Hồ Chí Minh,Quận Tân Bình,Trường Vỹ,1,20000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131268158
130587298,173970431,Zoomer X Nhập Thái Xe keng zin 1 đời chủ,Honda,Tay ga,,2017,Đã sử dụng,49000000,49.0,TP Hồ Chí Minh,Quận Bình Thạnh,Thanh Luật,72,25555,4 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/130587298
131127756,174604843,Honda Vision 2020 chính chủ biển số sg. odo 9k,Honda,Tay ga,,2020,Đã sử dụng,25800000,25.8,TP Hồ Chí Minh,Quận 7,Xe Cũ Hiếu CT,834,9000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131127756
131140192,174619602,Air Blade 2016 Xám bs43 có trả góp,Honda,Tay ga,,2016,Đã sử dụng,26500000,26.5,TP Đà Nẵng,Quận Liên Chiểu,anh quoc,42,21000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131140192
131285070,174788632,SYM Angela 50 Đen đỏ 50cc,Suzuki,Xe số,,2016,Đã sử dụng,8500000,8.5,TP Đà Nẵng,Quận Thanh Khê,Minh Nhựa,113,20000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131285070
131140192,174619602,Air Blade 2016 Xám bs43 có trả góp,Honda,Tay ga,,2016,Đã sử dụng,26500000,26.5,TP Đà Nẵng,Quận Liên Chiểu,anh quoc,42,21000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131140192
131285070,174788632,SYM Angela 50 Đen đỏ 50cc,Suzuki,Xe số,,2016,Đã sử dụng,8500000,8.5,TP Đà Nẵng,Quận Thanh Khê,Minh Nhựa,113,20000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131285070
130009349,173314781,xe máy zin vip bs69 ngây chủ,Vespa / Piaggio,Tay ga,,2014,Đã sử dụng,5500000,5.5,TP Cần Thơ,Quận Ninh Kiều,đầy cửa hàng cầu hưng lợi nk cần thơ,3906,20,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130009349
131285056,174788627,xe honda vison trắng 110c sản xuất năm 2024,Honda,Tay ga,100-175cc,2024,Đã sử dụng,29000000,29.0,Quảng Ninh,Thành phố Hạ Long,Ng Thành Đạt,0,14000,4 giờ trước,True,https://xe.chotot.com/mua-ban-xe-may/131285056
131285048,174788613,Xe máy điện VinFast Vero X Xanh đậm,Brand_44,Xe phân khối lớn,,2026,Đã sử dụng,49000000,49.0,TP Hồ Chí Minh,Quận Bình Thạnh,LaptopUSA,113,1000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131285048
131285042,174787200,Vespa Victoria 50cc 2023 Xám,Brand_80,Tay ga,50-100cc,2023,Đã sử dụng,13800000,13.8,TP Hồ Chí Minh,Quận 12,Ku Gấu ,11,123456,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131285042
131285013,174787178,Victoria Vespa 50cc 2023 Xám,Brand_34,Tay ga,50-100cc,2023,Đã sử dụng,13800000,13.8,TP Hồ Chí Minh,Quận 12,Ku Gấu ,11,123456,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131285013
131285012,174787157,Cần Bán Honda CREA 50cc 2021 chính chủ,Honda,Tay ga,50-100cc,2021,Đã sử dụng,11500000,11.5,TP Hồ Chí Minh,Quận 12,Ku Gấu ,11,123456,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131285012
130336820,173691217,Honda SH 160i ABS 2023 bản Đặc Biệt Lướt 5.000km,Honda,Tay ga,100-175cc,2023,Đã sử dụng,93000000,93.0,TP Cần Thơ,Quận Ninh Kiều,Xe Máy TÂN LIÊN HƯNG 1 91B,1643,5000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130336820
130271516,173590292,FUTURE 125Fi 2025 Lướt 3.400Km,Honda,Xe số,,2024,Đã sử dụng,33500000,33.5,TP Cần Thơ,Quận Ninh Kiều,Xe Máy TÂN LIÊN HƯNG 1 91B,1643,3400,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130271516
130290669,173637224,Kawasaki Z300 2016 odo 20.000Km lốp vỏ zin theo xe,Brand_17,Xe côn tay,175-300cc,2016,Đã sử dụng,65000000,65.0,TP Cần Thơ,Quận Ninh Kiều,Xe Máy TÂN LIÊN HƯNG 1 91B,1643,20000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130290669
131284978,174788571,Honda SH mode 2019 ABS,Honda,Tay ga,,2019,Đã sử dụng,49000000,49.0,TP Hồ Chí Minh,Quận Bình Tân,Cửa hàng xe Đức Mạnh,5,15000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131284978
131284968,174788455,Vinfast Evo Neo Voucher mua khuyến mãi,Brand_44,Xe phân khối lớn,,2025,Mới,15300000,15.3,TP Hồ Chí Minh,Quận 8,Huy,52,0,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131284968
131024601,174485001,Yamaha Sirius RC 2023,Yamaha,Xe số,,2023,Đã sử dụng,13500000,13.5,TP Hồ Chí Minh,Quận 8,Đặng Thái Hòa,286,9999,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131024601
130882205,174318821,Acruzo chính chủ biển SG máy móc bao êm,Yamaha,Tay ga,,2015,Đã sử dụng,12800000,12.8,TP Hồ Chí Minh,Quận 7,Xe Cũ Hiếu CT,834,50,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130882205
131140238,174619618,Honda Vario 150 2021 Trắng đen,Honda,Tay ga,,2021,Đã sử dụng,38500000,38.5,Đắk Lắk,Thành phố Buôn Ma Thuột,xe máy Hồng Phát,0,7979,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131140238
131208982,174699600,Honda SH Mode 2025 Bạc,Honda,Tay ga,,2025,Đã sử dụng,67500000,67.5,TP Hồ Chí Minh,Quận Bình Tân,Cửa hàng xe Đức Mạnh,5,4200,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131208982
127933805,170907374,xe dy lan 150 ý êm ru bs59,Honda,Tay ga,100-175cc,2004,Đã sử dụng,7000000,7.0,TP Cần Thơ,Quận Ninh Kiều,đầy cửa hàng cầu hưng lợi nk cần thơ,3906,60,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/127933805
128635582,171710030,wave A100 ngay chủ nữ đi,Honda,Tay ga,100-175cc,2014,Đã sử dụng,12500000,12.5,TP Hồ Chí Minh,Quận Gò Vấp,Tân ,1,16000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/128635582
130754998,174168875,SH ý 150i 2012 biển vip 9999 7 giá 210tr,Honda,Tay ga,100-175cc,2012,Đã sử dụng,210000000,210.0,TP Hồ Chí Minh,Quận Tân Bình,nguyễn thắng,23,33000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/130754998
131260237,174759510,Honda Wave 2002 Xanh đen,Honda,Xe số,50-100cc,2002,Đã sử dụng,9800000,9.8,TP Hồ Chí Minh,Thị xã Bến Cát,Chí Mang,7,100000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131260237
131096814,174568712,candy 50cc,Brand_21,Tay ga,Dưới 50cc,2014,Đã sử dụng,7900000,7.9,TP Hồ Chí Minh,Quận Tân Phú,Dương Đức,20,56789,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131096814
131284892,174788500,Honda AirBlade 2013 125cc Còn Khá Đẹp,Honda,Tay ga,,2013,Đã sử dụng,17500000,17.5,An Giang,Thành phố Long Xuyên,Cửa Hàng Xe Minh Hạnh,139,20000,4 giờ trước,False,https://xe.chotot.com/mua-ban-xe-may/131284892
